nomcom;numdep;insee;geo_point_2d;geo_shape;shape_leng;shape_area
Montreuil-sur-Epte;95;95429;49.1704950487, 1.68615384906;"{""type"": ""Polygon"", ""coordinates"": [[[1.664303912489706, 49.15395122582894], [1.661447189600664, 49.15680591026673], [1.669312453207124, 49.16923894668708], [1.666334184333175, 49.17572504487561], [1.671824653107444, 49.1808930248431], [1.681200576321383, 49.182740440098215], [1.712019605874024, 49.17841628180954], [1.718979319040093, 49.173185430736886], [1.709181687080117, 49.17121952241651], [1.704672386008566, 49.16564117093508], [1.694629977920074, 49.16475941809861], [1.678668539286595, 49.156195887600326], [1.670203354700426, 49.158044927884056], [1.664303912489706, 49.15395122582894]]]}";12085.2255172;7135667.0
Mesnil-Amelot (le);77;77291;49.0161420137, 2.59606893654;"{""type"": ""Polygon"", ""coordinates"": [[[2.575843102727704, 49.00028722506934], [2.57152782263402, 49.00153079583649], [2.565778810994142, 49.01239956001716], [2.577601761272706, 49.022674637860916], [2.601309902534846, 49.03516450623582], [2.610870139912926, 49.031410297965174], [2.619764410348923, 49.01944358834375], [2.627899530812729, 49.015566563286356], [2.627431455059782, 49.01221109553626], [2.624106168582786, 49.007030306727124], [2.614187540218615, 49.00823973861289], [2.575843102727704, 49.00028722506934]]]}";12989.388444;10234493.5
Meudon;92;92048;48.8037275796, 2.22696287829;"{""type"": ""Polygon"", ""coordinates"": [[[2.22662770814879, 48.7815889738475], [2.224189672860786, 48.78446031637825], [2.210036359274815, 48.787038868360035], [2.20914828639397, 48.79354478830364], [2.20263504508016, 48.79840332310286], [2.205506503732739, 48.80920635641876], [2.218520277045958, 48.8149403723791], [2.222690130834091, 48.82116438977175], [2.232636965444476, 48.82273961343197], [2.236100452595979, 48.821547611630635], [2.251865120621872, 48.81638584250767], [2.253282111887862, 48.809685205364055], [2.237015668418126, 48.796235311231634], [2.234962126007444, 48.785878904546564], [2.22662770814879, 48.7815889738475]]]}";12951.7151119;10122907.0
Alluets-le-Roi (les);78;78010;48.9143168349, 1.91476236453;"{""type"": ""Polygon"", ""coordinates"": [[[1.934094509663578, 48.90463470178501], [1.927411768331715, 48.89923280365722], [1.911970051642304, 48.9011800493913], [1.90351147945369, 48.905096107675675], [1.893883069035682, 48.91713101036936], [1.883579452390377, 48.91717033967858], [1.901141392312234, 48.92947397790441], [1.917692243100732, 48.924498323952676], [1.936385726810135, 48.91935956011173], [1.942011279123976, 48.913833384023796], [1.931973586547567, 48.9076016923165], [1.934094509663578, 48.90463470178501]]]}";11764.6439713;7649381.99999
Marles-en-Brie;77;77277;48.7249445304, 2.88847597866;"{""type"": ""Polygon"", ""coordinates"": [[[2.905316200771002, 48.7088637028086], [2.87009777464863, 48.71122306033424], [2.857800882632041, 48.72513224221728], [2.847523864797707, 48.72496665263665], [2.848869783468873, 48.72964537395772], [2.856323312650211, 48.73347711975799], [2.883974090143364, 48.735728762387026], [2.88929315543623, 48.74095941819872], [2.912750464130579, 48.74121271291549], [2.912373017825022, 48.73112997271718], [2.922851028224453, 48.72503911653203], [2.905316200771002, 48.7088637028086]]]}";15211.8325676;12637249.0
Génicourt;95;95271;49.0948354012, 2.06072705902;"{""type"": ""Polygon"", ""coordinates"": [[[2.084140070669475, 49.08420048425973], [2.079229809790931, 49.08472946319301], [2.071830903368538, 49.080500308490656], [2.05988206830482, 49.085712691609686], [2.045585135849867, 49.08298337637146], [2.0460597694659, 49.09215890073508], [2.03947837467373, 49.10005529924015], [2.043942985109399, 49.108201460727386], [2.050165869491818, 49.109428683994736], [2.059806688273112, 49.10950443546509], [2.067608034223793, 49.10143664229137], [2.072617609687766, 49.100809990063894], [2.084311158838898, 49.09079282653367], [2.084140070669475, 49.08420048425973]]]}";10951.5628247;6629979.5
Dammarie-les-Lys;77;77152;48.5138338655, 2.62854374259;"{""type"": ""Polygon"", ""coordinates"": [[[2.641001452599129, 48.494507603100786], [2.634054517219292, 48.496951323409355], [2.585713230256128, 48.51481157566131], [2.58783437616688, 48.52057633507223], [2.600735098184952, 48.515834549359916], [2.610728985504027, 48.51752294904236], [2.631863494199458, 48.527575686026864], [2.644707449922236, 48.534874364508006], [2.653274335058854, 48.52369089600345], [2.6493362332967, 48.50707292026587], [2.641001452599129, 48.494507603100786]]]}";15135.3652217;10226781.5
Fontenay-Trésigny;77;77192;48.697973344, 2.86231363712;"{""type"": ""Polygon"", ""coordinates"": [[[2.896102738676404, 48.68112602745708], [2.854479718459893, 48.68267454057516], [2.836666460702206, 48.675653657467365], [2.825940432323626, 48.682753228291645], [2.815411156869839, 48.6833220432601], [2.820990231016609, 48.70031221763863], [2.837256114087379, 48.70875430107278], [2.847523864797707, 48.72496665263665], [2.857800882632041, 48.72513224221728], [2.87009777464863, 48.71122306033424], [2.905316200771002, 48.7088637028086], [2.917663278263519, 48.7043846585733], [2.91462321705322, 48.701990005093926], [2.91256796219806, 48.69589027525847], [2.898889603570798, 48.6939726331532], [2.896102738676404, 48.68112602745708]]]}";21601.1930814;22423061.0
Saint-Cyr-en-Arthies;95;95543;49.059130605, 1.74195790474;"{""type"": ""Polygon"", ""coordinates"": [[[1.751176843177676, 49.048226597167165], [1.735637866897634, 49.0486845382924], [1.732065795807875, 49.05041845798452], [1.724417646973426, 49.054878819449826], [1.741317395201672, 49.072862441774056], [1.746498828253181, 49.07311443345213], [1.748268019649474, 49.06729671285031], [1.759422161312399, 49.06328479831266], [1.751367853187022, 49.05507202707763], [1.751176843177676, 49.048226597167165]]]}";8376.62940294;3990714.5
Armentières-en-Brie;77;77008;48.9805568845, 3.01556654649;"{""type"": ""Polygon"", ""coordinates"": [[[2.99729616322876, 48.959187105619876], [2.994195639427133, 48.96519387738865], [2.982773505762555, 48.97912178250405], [2.988455516142977, 48.98342971676586], [2.993237437516487, 48.982027303899315], [3.035966546137788, 48.994799902206694], [3.040886137378281, 48.99499615221558], [3.043605953675792, 48.979249976858604], [3.03629432394817, 48.974972118333184], [3.026390517550976, 48.97421036625964], [3.00734946554079, 48.97812466009499], [3.000177573188216, 48.97340396768053], [3.001174496933109, 48.96375524109978], [2.998525177391836, 48.959277050661996], [2.99729616322876, 48.959187105619876]]]}";14390.4302528;6988258.00002
Sivry-Courtry;77;77453;48.530887524, 2.75615007071;"{""type"": ""Polygon"", ""coordinates"": [[[2.761279225746813, 48.50198895773273], [2.744042614256282, 48.502861668038705], [2.744283638739841, 48.5061816857383], [2.730014972254479, 48.50875893916223], [2.732865951289542, 48.51518844251906], [2.721164982980869, 48.52579463424381], [2.711833208039515, 48.52838115655829], [2.713151244788647, 48.53502320743217], [2.720788515161963, 48.53800097683795], [2.720962121436534, 48.543560715398215], [2.728288538901328, 48.54671716174246], [2.76593423724106, 48.553948711673755], [2.790784965322905, 48.547248329856096], [2.800326044448944, 48.539357568008576], [2.801963302177235, 48.532676510134976], [2.790420819398883, 48.52988604039198], [2.791499487503803, 48.524292577555926], [2.781879600544198, 48.5221613055799], [2.779428329588406, 48.51576075658167], [2.774762740744796, 48.51440262950493], [2.760635965813055, 48.51540054463827], [2.761279225746813, 48.50198895773273]]]}";21036.7151587;22981555.0
Lorrez-le-Bocage-Préaux;77;77261;48.2397310097, 2.89648812918;"{""type"": ""Polygon"", ""coordinates"": [[[2.89089486719688, 48.2149979683055], [2.877198538742451, 48.21107046400481], [2.86330949448821, 48.214771321689575], [2.862131017134769, 48.217523287744335], [2.85638449396412, 48.22154746056545], [2.871687062399517, 48.235466589250194], [2.87252416099221, 48.24576083105187], [2.88381007778203, 48.253132509374154], [2.892633074183094, 48.260599831185374], [2.903021064225468, 48.26117565132011], [2.919992857842774, 48.27440566508864], [2.929068114080745, 48.27116337319126], [2.920578079076326, 48.23487071666479], [2.921456587651091, 48.223759100145884], [2.913627360548843, 48.22733474559234], [2.90364742770468, 48.22074066153744], [2.894181257665313, 48.22102049274379], [2.89089486719688, 48.2149979683055]]]}";20403.3889129;19499246.0
Forêt-le-Roi (la);91;91247;48.4755183328, 2.0468515284;"{""type"": ""Polygon"", ""coordinates"": [[[2.070364849228394, 48.464071657399494], [2.034182880095193, 48.464520574153866], [2.026102216584405, 48.46840417563008], [2.017785106698451, 48.48124605895462], [2.046706708386302, 48.48705067177692], [2.061545740814839, 48.492018020285265], [2.062219417179544, 48.4823429541764], [2.071219562612353, 48.473875815536324], [2.070364849228394, 48.464071657399494]]]}";11747.4912143;8045933.49999
Charmont;95;95141;49.1370870263, 1.78987414307;"{""type"": ""Polygon"", ""coordinates"": [[[1.771897584515708, 49.12940724026437], [1.767240642840902, 49.13221007183471], [1.783691507672081, 49.144741326721935], [1.786956333494276, 49.14228354067717], [1.79993455660338, 49.145875498111465], [1.813245452905431, 49.14100805227387], [1.804916998078481, 49.13785042722445], [1.803473410444216, 49.13152378313462], [1.798500883707754, 49.13145624759789], [1.771897584515708, 49.12940724026437]]]}";8534.69714452;3549097.0
Sancy-lès-Provins;77;77444;48.7095987707, 3.39288392593;"{""type"": ""Polygon"", ""coordinates"": [[[3.379949112106944, 48.67749877384514], [3.370271356147485, 48.68032657210209], [3.380247336544671, 48.71103865088801], [3.377617329566773, 48.72136360428139], [3.369492824465063, 48.72585023770848], [3.368621826423678, 48.74305897914444], [3.373544110388331, 48.74296273219429], [3.376694846257331, 48.74047942144901], [3.386461283107222, 48.74082596399197], [3.388210819956143, 48.74385134147963], [3.402372956882064, 48.73919940245957], [3.41020157200812, 48.730025559355816], [3.410324109447377, 48.71620076656595], [3.419376076798114, 48.70766052058537], [3.412372798744611, 48.691611639701954], [3.415312426492116, 48.681986139909654], [3.379949112106944, 48.67749877384514]]]}";20561.232016;19313631.9999
Veneux-les-Sablons;77;77491;48.3811719817, 2.79535158801;"{""type"": ""Polygon"", ""coordinates"": [[[2.796334524789714, 48.370733920164675], [2.780594353583851, 48.37940574462085], [2.778295995489533, 48.38960378427676], [2.789716800900073, 48.391315972585836], [2.791823357708006, 48.388089870494724], [2.802373602333035, 48.38784702229073], [2.81485658657986, 48.37956317761285], [2.813557647689977, 48.37643925717178], [2.796334524789714, 48.370733920164675]]]}";7787.24468334;3707748.50001
Orsay;91;91471;48.7004093953, 2.18737051177;"{""type"": ""Polygon"", ""coordinates"": [[[2.204707084431651, 48.69106715032143], [2.19017324303417, 48.68732637387473], [2.181827592750015, 48.678913003512584], [2.174850051799165, 48.690693410925896], [2.165981212247244, 48.694760424936696], [2.175163690695427, 48.69578674193333], [2.170751870951656, 48.706658005011704], [2.171682801665038, 48.71480481596173], [2.193479634092293, 48.71869596677259], [2.192794946986925, 48.711981220326265], [2.209710850466166, 48.701588489842806], [2.204707084431651, 48.69106715032143]]]}";12647.089942;7506139.50002
Cheptainville;91;91156;48.5465841683, 2.27416218366;"{""type"": ""Polygon"", ""coordinates"": [[[2.258799631499476, 48.53257307849269], [2.252377463811401, 48.537444720871115], [2.263504914735627, 48.562109097949765], [2.265708596484375, 48.55959488177511], [2.282745353910117, 48.559473932395974], [2.29954723827506, 48.551567730509824], [2.294405488945662, 48.54297320486879], [2.289291893386199, 48.54341953905536], [2.282800003502349, 48.53468142179229], [2.258799631499476, 48.53257307849269]]]}";10961.6639946;7267995.99999
Pantin;93;93055;48.8983093876, 2.40872147475;"{""type"": ""Polygon"", ""coordinates"": [[[2.411308740149787, 48.88323558443705], [2.407430750148269, 48.88849547619885], [2.398637534206958, 48.889413910167875], [2.396499648232947, 48.896193002584596], [2.389444302557232, 48.90115742325016], [2.398414881865258, 48.90868505566173], [2.408023772282129, 48.9095063278149], [2.407546080637131, 48.91791241650969], [2.410056995680059, 48.916692770600214], [2.414487867030127, 48.904897687631944], [2.427724040274605, 48.895887633133064], [2.424420599144501, 48.891195365224405], [2.411308740149787, 48.88323558443705]]]}";10396.5217252;4786446.50001
Grisy-les-Plâtres;95;95287;49.1332346678, 2.0484611533;"{""type"": ""Polygon"", ""coordinates"": [[[2.043942985109399, 49.108201460727386], [2.030082450276472, 49.13090231895039], [2.041246622362161, 49.1458726872859], [2.058546545680304, 49.153247288888146], [2.06738791145883, 49.14336268427386], [2.061595575933245, 49.13022609065504], [2.047771655497061, 49.119723207308205], [2.050165869491818, 49.109428683994736], [2.043942985109399, 49.108201460727386]]]}";12051.1777008;7011043.50001
Jagny-sous-Bois;95;95316;49.0814278078, 2.44399511411;"{""type"": ""Polygon"", ""coordinates"": [[[2.441771338846436, 49.06900345227631], [2.437994910462457, 49.07526200534117], [2.422296325317701, 49.08386444296851], [2.422987290474523, 49.086969836365874], [2.437479336417292, 49.08872891921496], [2.449213333890776, 49.095032301998486], [2.453733775279555, 49.08963108830741], [2.462109734563879, 49.07271982611862], [2.457741549577556, 49.07425574325902], [2.451353393706077, 49.070054643005825], [2.441771338846436, 49.06900345227631]]]}";9170.94729271;4371084.0
Arville;77;77009;48.1812755865, 2.55657978;"{""type"": ""Polygon"", ""coordinates"": [[[2.595699642521668, 48.171219801757616], [2.575894271199673, 48.16666918570972], [2.554691673490297, 48.1671219972071], [2.535763501087183, 48.17198911504372], [2.53299072486898, 48.18890378158212], [2.520295858365277, 48.193918843598446], [2.522818462723071, 48.19772626384015], [2.56873748826195, 48.19313387973203], [2.575878169176843, 48.1887776645791], [2.586158091363049, 48.173445287811454], [2.595699642521668, 48.171219801757616]]]}";14877.8672824;10848789.5
Poigny;77;77368;48.5449283297, 3.27716740959;"{""type"": ""Polygon"", ""coordinates"": [[[3.286188071957048, 48.52813405478326], [3.282252339275825, 48.53417961369621], [3.268799438850229, 48.5389605226319], [3.24322527964111, 48.55969648286382], [3.250134021146162, 48.56198501063898], [3.270130602212393, 48.552810793006756], [3.285034329021657, 48.55009531970874], [3.293538409190417, 48.54196955468887], [3.308495470763704, 48.54444148632003], [3.310624074800023, 48.537851098741626], [3.2915695191872, 48.53384227936031], [3.286188071957048, 48.52813405478326]]]}";13553.3761081;6024720.0
Meilleray;77;77287;48.7981344824, 3.41720461603;"{""type"": ""Polygon"", ""coordinates"": [[[3.442603847512287, 48.78813778100195], [3.442154095619798, 48.78485666852044], [3.428538606140977, 48.78091296912388], [3.419908751963466, 48.78410047853054], [3.409984005537565, 48.78372122388411], [3.409628032848291, 48.79038691458211], [3.38902389156324, 48.81100651921717], [3.389199725167686, 48.81632120199744], [3.4166122064878, 48.81782969976215], [3.406148240711608, 48.8102390687326], [3.407525025186462, 48.80694268406612], [3.421118162575095, 48.80241668295128], [3.440824638954331, 48.80148222850422], [3.442603847512287, 48.78813778100195]]]}";14595.5387533;7908081.49999
Breuillet;91;91105;48.5718215115, 2.16598389799;"{""type"": ""Polygon"", ""coordinates"": [[[2.18146576430893, 48.56405576685605], [2.167476840666839, 48.562456366114816], [2.138846663506774, 48.565293199754784], [2.129550296131533, 48.5700923663105], [2.13553319014311, 48.574714918547], [2.153429063671944, 48.57713754085064], [2.168015907298471, 48.58057788352226], [2.199097780809747, 48.58008945637938], [2.19851464541666, 48.57566858299416], [2.18146576430893, 48.56405576685605]]]}";11808.0668391;7051050.99999
Vésinet (le);78;78650;48.8938640591, 2.13039312004;"{""type"": ""Polygon"", ""coordinates"": [[[2.144932867136635, 48.88338319059757], [2.135559273732443, 48.88533942017082], [2.129363382373108, 48.87664272327713], [2.118188801822393, 48.89077973053676], [2.113065030536199, 48.899330645150705], [2.120242856348, 48.90320578350386], [2.125952172486114, 48.90766332412805], [2.135995117674065, 48.905919531858295], [2.145855525153701, 48.89364233839833], [2.144932867136635, 48.88338319059757]]]}";9362.4136623;4798135.5
Us;95;95625;49.1048076828, 1.95764610139;"{""type"": ""Polygon"", ""coordinates"": [[[1.95117672175034, 49.085991368726425], [1.939809668874305, 49.0915476639504], [1.921531264416136, 49.09482904527695], [1.926119211957405, 49.10272012252694], [1.93062051239698, 49.10160027304419], [1.950436706543539, 49.11917410407207], [1.959265325520374, 49.118855172271324], [1.975343857098752, 49.124604035792245], [1.989016381484119, 49.10918197986911], [1.976431816126685, 49.097961574778545], [1.95117672175034, 49.085991368726425]]]}";13933.341117;11110778.5
Bry-sur-Marne;94;94015;48.8384095661, 2.52319657626;"{""type"": ""Polygon"", ""coordinates"": [[[2.525040142393285, 48.82725335459993], [2.504679851760672, 48.82972494684114], [2.514734807466692, 48.83098929530885], [2.516994873460105, 48.83406525167816], [2.511701114233563, 48.8436398477218], [2.513670428920088, 48.8501681266457], [2.515648757769381, 48.85138127056583], [2.537155233528009, 48.84196032721488], [2.53665448757524, 48.83851387979085], [2.532257759855077, 48.83048351954941], [2.525040142393285, 48.82725335459993]]]}";8591.83988072;3341203.99999
Vieille-Eglise-en-Yvelines;78;78655;48.669743712, 1.87479828191;"{""type"": ""Polygon"", ""coordinates"": [[[1.902771575194082, 48.65087219232345], [1.888039299104607, 48.6541450003017], [1.872168336355665, 48.662910570754136], [1.856740167275636, 48.6617380805818], [1.842307466882663, 48.66531398820361], [1.848264382092619, 48.678487298529475], [1.855452063749069, 48.68150705030618], [1.86480884518517, 48.681020785094404], [1.870337985744075, 48.686038806819404], [1.890227082758968, 48.68349994076563], [1.89419237746002, 48.67714999242701], [1.892248269856285, 48.66376455429819], [1.898528651760513, 48.65829944926937], [1.909021994452395, 48.6577842633037], [1.909677692704536, 48.65238388353105], [1.902771575194082, 48.65087219232345]]]}";14908.8516789;9693865.49999
Marêts (les);77;77275;48.6725110307, 3.31659971579;"{""type"": ""Polygon"", ""coordinates"": [[[3.312402948465438, 48.654533346411114], [3.301420311084736, 48.68291306734555], [3.312696472411579, 48.68774112932952], [3.321465177190815, 48.68657549948302], [3.331137691591195, 48.67589035654931], [3.323740551104084, 48.65694968871349], [3.312402948465438, 48.654533346411114]]]}";9341.40325437;5190653.5
Saint-Brice;77;77403;48.5723421342, 3.33441347649;"{""type"": ""Polygon"", ""coordinates"": [[[3.320557959784705, 48.556328792437206], [3.311183822063988, 48.56369405940664], [3.311020661448605, 48.584159145204126], [3.311074545235748, 48.59095049735078], [3.321305324403763, 48.58982588902303], [3.332827585782579, 48.582894775981], [3.343125936759522, 48.58204694773834], [3.35671365725527, 48.59245063123674], [3.361469830078496, 48.576226566935034], [3.351985514720208, 48.56888769796232], [3.358784296495847, 48.55621963190946], [3.320557959784705, 48.556328792437206]]]}";15537.8032458;11250677.0
Guignes;77;77222;48.6358224167, 2.80042109731;"{""type"": ""Polygon"", ""coordinates"": [[[2.818308838668545, 48.627342827629136], [2.799852298863817, 48.62088178902424], [2.789711139108318, 48.622429456572725], [2.783457892500139, 48.63189001448784], [2.790463816854356, 48.64115835125305], [2.790259647958863, 48.64807506529286], [2.80442804627002, 48.65263256301069], [2.814437117270244, 48.65157818301662], [2.816552028255071, 48.64852320986294], [2.805146896342676, 48.641875876484164], [2.803325273878231, 48.63902149358189], [2.818473789034341, 48.63064424504493], [2.818308838668545, 48.627342827629136]]]}";10940.0468835;5626150.5
Tremblay-sur-Mauldre (le);78;78623;48.7834999157, 1.878022372;"{""type"": ""Polygon"", ""coordinates"": [[[1.869040323004068, 48.765489805296134], [1.863228557498297, 48.7705706900237], [1.870019834953439, 48.779324086598024], [1.866002617091091, 48.7856902704183], [1.87262370699577, 48.79865124092132], [1.875821511185089, 48.80504951039536], [1.885899950898867, 48.804316374994904], [1.88994558943012, 48.77033624135763], [1.882620923831741, 48.766697007639394], [1.869040323004068, 48.765489805296134]]]}";11054.3064508;5939642.50001
Authon-la-Plaine;91;91035;48.4534137641, 1.95677183334;"{""type"": ""Polygon"", ""coordinates"": [[[1.971705942317081, 48.43708578532548], [1.956548346789659, 48.436422632113086], [1.942894677475692, 48.440998293390706], [1.934138822125763, 48.44267441632654], [1.930627997848879, 48.45371826817908], [1.955625494159541, 48.47264552301906], [1.968700596261153, 48.475845725391544], [1.966820987901859, 48.46615772928011], [1.974717737616236, 48.46220455786891], [1.98052258809499, 48.45306864745176], [1.971705942317081, 48.43708578532548]]]}";12824.4124009;10187866.0
Civry-la-Forêt;78;78163;48.8642006092, 1.61682938801;"{""type"": ""Polygon"", ""coordinates"": [[[1.620389342136468, 48.84478489589563], [1.61650308021423, 48.846925719295044], [1.606811058453071, 48.844969326668085], [1.598649933852554, 48.848948601337895], [1.595613104228149, 48.85138652834062], [1.599849788582662, 48.86668203782165], [1.595922492231648, 48.87227559417205], [1.607043360072246, 48.87706466692714], [1.612194404063737, 48.87668377118412], [1.623908099774654, 48.88338490622664], [1.63680542466386, 48.87833372505608], [1.642774220874627, 48.870639388266284], [1.630311264192978, 48.860306653088394], [1.623661860745411, 48.84884320321232], [1.620389342136468, 48.84478489589563]]]}";12522.4062339;9278449.50001
Issou;78;78314;48.9869955946, 1.7891449839;"{""type"": ""Polygon"", ""coordinates"": [[[1.785941216716716, 48.968041603509675], [1.785987787018195, 48.97833041963638], [1.771521697733837, 48.98227507413565], [1.77544348926806, 48.98863740843354], [1.778641440656493, 48.995019180267604], [1.795654191850423, 49.00219675085788], [1.797852557313337, 49.00879268568982], [1.801504360489847, 48.985015530016334], [1.792267113128969, 48.9697422639846], [1.785941216716716, 48.968041603509675]]]}";11017.1508654;4748185.5
Epiais-Rhus;95;95213;49.1238363223, 2.07311253247;"{""type"": ""Polygon"", ""coordinates"": [[[2.072617609687766, 49.100809990063894], [2.067608034223793, 49.10143664229137], [2.059806688273112, 49.10950443546509], [2.050165869491818, 49.109428683994736], [2.047771655497061, 49.119723207308205], [2.061595575933245, 49.13022609065504], [2.06738791145883, 49.14336268427386], [2.085309258689991, 49.14908384673171], [2.090308767557175, 49.14381684521509], [2.086897007345477, 49.141435268671195], [2.093402587801008, 49.126010170295864], [2.091845442234113, 49.116359473128725], [2.072617609687766, 49.100809990063894]]]}";13957.2225945;10720451.5
Luzancy;77;77265;48.9776259019, 3.18079774595;"{""type"": ""Polygon"", ""coordinates"": [[[3.184298169480914, 48.95536761417278], [3.174377969610406, 48.96961735335099], [3.160493374858214, 48.96717284530501], [3.167041623698613, 48.986083569155426], [3.174134066785972, 48.99058753873872], [3.185655919289572, 48.99527313429238], [3.194953745543182, 48.989440493352916], [3.197171945322345, 48.9798691928063], [3.185432215086914, 48.95556369892648], [3.184298169480914, 48.95536761417278]]]}";11603.9689966;6659571.49999
Paley;77;77353;48.2409902344, 2.85393444453;"{""type"": ""Polygon"", ""coordinates"": [[[2.85638449396412, 48.22154746056545], [2.828943957577342, 48.233774874159806], [2.836928793917196, 48.251736502594056], [2.859954635411102, 48.256318797913345], [2.88381007778203, 48.253132509374154], [2.87252416099221, 48.24576083105187], [2.871687062399517, 48.235466589250194], [2.85638449396412, 48.22154746056545]]]}";12357.6561118;9105923.5
Bouville;91;91100;48.4326483441, 2.2783856422;"{""type"": ""Polygon"", ""coordinates"": [[[2.288706296027433, 48.41181615234308], [2.28337567876538, 48.41721818095825], [2.243926079540405, 48.41331153973543], [2.245375401994201, 48.43285296134615], [2.233841590482946, 48.43852799584925], [2.239482709841469, 48.44393533979536], [2.248528557532639, 48.449651884342785], [2.261527872384652, 48.45040822319847], [2.267301997418207, 48.45917972602607], [2.275053970944631, 48.462996879429305], [2.281768613994447, 48.45965498305531], [2.277058233443959, 48.45104362879415], [2.287463359668941, 48.44369330579597], [2.305922191939187, 48.43850365216861], [2.318955102472946, 48.441727999419534], [2.324223466616759, 48.43371508271801], [2.328621284867114, 48.43340716967294], [2.324836822632011, 48.42491076666707], [2.308348476244595, 48.41647573710552], [2.288706296027433, 48.41181615234308]]]}";21939.4467113;21219032.0
Hermeray;78;78307;48.653842919, 1.68849471188;"{""type"": ""Polygon"", ""coordinates"": [[[1.709581551305061, 48.63293266136379], [1.717317828225015, 48.65619003897569], [1.709093993300297, 48.660401311374684], [1.691167047907562, 48.65342280467327], [1.68076697118957, 48.62648159788757], [1.675946151012577, 48.62499769660159], [1.651574528306872, 48.63812870428748], [1.640838409827194, 48.64488880663795], [1.643183817368724, 48.65129381889031], [1.662308803659459, 48.655225430663734], [1.671236529936357, 48.66351169127613], [1.671102450392558, 48.67039211181806], [1.691443662447143, 48.67221840337648], [1.706534365242549, 48.68593078065696], [1.714108652916763, 48.68123595030739], [1.721769047025154, 48.66129357948392], [1.737490184151564, 48.65246522578084], [1.729496765437647, 48.64616404099067], [1.713439931924092, 48.63112118969987], [1.709581551305061, 48.63293266136379]]]}";27217.6975219;19012569.5
Laval-en-Brie;77;77245;48.4552750724, 2.97557988604;"{""type"": ""Polygon"", ""coordinates"": [[[3.004676159465621, 48.41723258625927], [2.994999355125735, 48.41857304984837], [2.989024433972931, 48.4242134309775], [2.978643332904022, 48.42487775321144], [2.969345542564704, 48.42175394619946], [2.965186657114011, 48.43602111144143], [2.962666277003859, 48.46308112934647], [2.942825546222833, 48.47278906890066], [2.936717799476788, 48.48905083686604], [2.950614672171573, 48.49110851254552], [2.974071587268855, 48.485835297115244], [2.993114892872977, 48.463167765017936], [2.995969759846442, 48.4537038848259], [3.006894849525595, 48.43434369665252], [3.004676159465621, 48.41723258625927]]]}";22402.3316247;20355316.5
Beynes;78;78062;48.854444414, 1.86989017513;"{""type"": ""Polygon"", ""coordinates"": [[[1.874862143378282, 48.83437128383245], [1.865589447956274, 48.83161237808648], [1.851510558160594, 48.83433820986683], [1.846622179168364, 48.82866968713478], [1.841537490679322, 48.828818416443305], [1.839218874828545, 48.83016308220415], [1.841905888831709, 48.843509743803594], [1.847271640140721, 48.84920096445476], [1.837521034148689, 48.856814659388625], [1.838398469990567, 48.87125874613963], [1.857293982290295, 48.87194430047556], [1.874663272220976, 48.87702856892522], [1.883102619566446, 48.87453533814816], [1.912716944718803, 48.86084935759399], [1.903044100347343, 48.846352529476356], [1.893278662047072, 48.8473778647787], [1.888578764430276, 48.84665973104182], [1.882091589324929, 48.834609966105404], [1.874862143378282, 48.83437128383245]]]}";19014.3901822;19004426.0
Itteville;91;91315;48.5145241389, 2.34431579636;"{""type"": ""Polygon"", ""coordinates"": [[[2.352288421020651, 48.48979376405596], [2.350338674804365, 48.496422363877606], [2.341659327363695, 48.49989211602809], [2.334532852545431, 48.49610997432352], [2.321981896203023, 48.50160769093288], [2.307086472728402, 48.4999024309005], [2.324144816482853, 48.518658767291136], [2.338447633260907, 48.521644973438136], [2.341497217748613, 48.53762084303348], [2.35709899448608, 48.53681562649739], [2.359995956278729, 48.53475318937482], [2.372243073153583, 48.5368605635405], [2.362615567330005, 48.524286922840226], [2.3663735195464, 48.51029111625142], [2.352288421020651, 48.48979376405596]]]}";17789.5569984;12122472.0
Porcheville;78;78501;48.9761864885, 1.76831015347;"{""type"": ""Polygon"", ""coordinates"": [[[1.762926635102682, 48.96680813697136], [1.751753677037001, 48.96735787163162], [1.751973724786456, 48.97412319062524], [1.762190379674435, 48.98969750078092], [1.77544348926806, 48.98863740843354], [1.771521697733837, 48.98227507413565], [1.785987787018195, 48.97833041963638], [1.785941216716716, 48.968041603509675], [1.762926635102682, 48.96680813697136]]]}";9181.07112222;4526468.5
Neuville-sur-Oise;95;95450;49.0173343999, 2.06276656128;"{""type"": ""Polygon"", ""coordinates"": [[[2.071694219065902, 49.001708835661525], [2.064428878664958, 49.0082080270963], [2.040594242711126, 49.02569021120046], [2.038230126645515, 49.03372851576785], [2.07263366399205, 49.018756983375035], [2.083165986845829, 49.019269519447526], [2.081068703325749, 49.01648380199802], [2.084914920835882, 49.014678714910346], [2.071694219065902, 49.001708835661525]]]}";10636.7874444;4124193.49999
Carnetin;77;77062;48.9042186439, 2.69939855845;"{""type"": ""Polygon"", ""coordinates"": [[[2.710286596678183, 48.903927997808054], [2.707593676338137, 48.897635409863476], [2.692999270796189, 48.89993705023727], [2.687901759010067, 48.910652383043704], [2.703041341463073, 48.90900920877898], [2.710286596678183, 48.903927997808054]]]}";4976.08719198;1502509.49999
